"platform_tt","platform_insta","platform_yt","platform_label","age","sex","grade","sm_usage","sm_freq","post_freq","interact_freq","creator_influencers","creator_brands_sellers","creator_public_health","prob","lower","upper"
0,0,0,"None",0,"1","1",0,0,0,0,0,0,0,0.549502249107762,0.504943239063074,0.59288031696753
1,0,0,"TikTok",0,"1","1",0,0,0,0,0,0,0,0.525428633434954,0.478464442647879,0.571323375292434
0,1,0,"Instagram",0,"1","1",0,0,0,0,0,0,0,0.47341506633683,0.424847579269511,0.521605134577499
0,0,1,"YouTube",0,"1","1",0,0,0,0,0,0,0,0.52028768957775,0.471242573488617,0.568126723925818
