"Estimate","Est.Error","Q2.5","Q97.5","predictor"
0.157101754048416,0.11624853173031,-0.0633405199578864,0.38002508972054,"Intercept"
0.00236448417000044,0.0405084802883987,-0.0755771315668116,0.0813336766119418,"age"
0.163182088838339,0.0389826767846848,0.0894702841633736,0.238578035051324,"sex2"
-0.0910878375971277,0.106441429473166,-0.297113858953731,0.111948626386416,"grade2"
-0.0254424051654489,0.106203619978557,-0.240106372456664,0.175347213754547,"grade3"
-0.0788784442915905,0.111371311845695,-0.29980379666081,0.135549298170368,"grade4"
0.0417238135532104,0.122782232935666,-0.200162264105726,0.276837712682448,"grade5"
0.151199969204296,0.137331002321048,-0.115563765902927,0.409049548336353,"grade6"
0.207441028850984,0.153896475357122,-0.0848801701311337,0.501930662755786,"grade7"
1.28562927235361,0.384249732798412,0.544263210894187,2.05550260001345,"grade8"
-0.0391891876913026,0.0191800604247214,-0.0758798549953259,-0.00233248499973077,"sm_usage"
0.188914551356255,0.0203082783809284,0.149640290992559,0.227210061604639,"sm_freq"
0.239288043836937,0.020626380413351,0.200201575344728,0.280439090198385,"post_freq"
0.253968534195343,0.0217580905133913,0.211283003364536,0.296156439344345,"interact_freq"
-0.094125598366632,0.0480956404529921,-0.190570130686342,-0.000536093422711154,"platform_tt"
-0.310686388949911,0.0468848189310031,-0.403597424898192,-0.218762318825514,"platform_insta"
-0.114878351366426,0.0466847646874314,-0.206269805629465,-0.0262779294847094,"platform_yt"
-0.340690896278729,0.0442719860844735,-0.428427495015615,-0.254531690123385,"creator_influencers"
-0.203453334378049,0.0456925031059697,-0.291140801531264,-0.112688523878326,"creator_brands_sellers"
-0.476839169820931,0.0499476151387713,-0.571315980722893,-0.380191070094324,"creator_public_health"
