"Estimate","Est.Error","Q2.5","Q97.5","predictor"
0.0144268903093995,0.0352594603085378,-0.0525843543213926,0.0833143364526769,"age"
0.160305202258967,0.0373546918691229,0.0873273545547836,0.231401919779166,"sex2"
-0.117515958348161,0.0940611822696759,-0.303919484486552,0.0664175519195353,"grade2"
-0.0617964354316565,0.0892745890885009,-0.239627958360878,0.115360500427842,"grade3"
-0.122151507875627,0.089305970721683,-0.293501066251385,0.0544098356327806,"grade4"
-0.00909521305445441,0.0974268320339073,-0.195375214895191,0.18782317474827,"grade5"
0.0905542171685615,0.107311541025506,-0.117939462034829,0.308448016547422,"grade6"
0.139250234608687,0.120451338984191,-0.0942809908183023,0.377738503999559,"grade7"
-0.0393446634315539,0.0191155614099379,-0.0758919518272579,-0.00288273223837265,"sm_usage"
0.189654387118782,0.0204341775007647,0.15006430485741,0.229456801391099,"sm_freq"
0.23836994566855,0.0207588307675712,0.198957693243107,0.278996149474801,"post_freq"
0.252021445205683,0.0213526823961678,0.210522399429103,0.293988706515879,"interact_freq"
-0.0970298971904356,0.0485306513546069,-0.191796710938672,-0.000856527604092135,"platform_tt"
-0.305773807422281,0.0464223760520685,-0.393577717341956,-0.216479850774629,"platform_insta"
-0.117673429204586,0.0461463785582042,-0.208986739497395,-0.0285254078093713,"platform_yt"
-0.335335438162498,0.0438870556009469,-0.421266913929532,-0.248288496368064,"creator_influencers"
-0.204617521304292,0.0444946617195546,-0.292951567377487,-0.118679856813474,"creator_brands_sellers"
-0.466340746616578,0.048839165929096,-0.560617721874185,-0.371908719221702,"creator_public_health"
